embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
7572480,179532800,179532800,179532800,179532800,179532800,179532800,179532800,179532800,179532800,179532800,179532800,179532800,7592448
6958080,160811008,160908288,160908288,160811008,160908288,160908288,160811008,160908288,160908288,160811008,160908288,160811008,6976512
4485120,92758016,92758016,92758016,92758016,92758016,92758016,92250112,92250112,92250112,92250112,92819456,92250112,4496896
3333120,65622528,66595328,67568128,66595328,66595328,67568128,66595328,66595328,67568128,65622528,64649728,64649728,3341824
8340480,204256768,204256768,204256768,204256768,204256768,204256768,204256768,204256768,204256768,204256768,204256768,204256768,8362496
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
3041280,58371072,58371072,58371072,58085888,58085888,58085888,58371072,58371072,58371072,58085888,58085888,58085888,3049472
4456448,70487552,69597696,69597696,69597696,69597696,69597696,69597696,69597696,69597696,71746048,70572544,71746048,3557888
3072000,59152384,59152384,59152384,58768384,58768384,58768384,59152384,59152384,59152384,58768384,58768384,58768384,3080192
8079360,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,8100864
4456448,88031744,88031744,88031744,88031744,88031744,88031744,88031744,88031744,88031744,88031744,88031744,88666624,4327424
4456448,88796160,88796160,88796160,88796160,88796160,88796160,88796160,88796160,88796160,88796160,88796160,89062400,4358656
8309760,203245056,203245056,203245056,203245056,203245056,203245056,203245056,203245056,203245056,203245056,203245056,203245056,8331776
6266880,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,6283264
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
7265280,170576384,170576384,170576384,170576384,170576384,170576384,169978368,169978368,169978368,169978368,169978368,169978368,7284224
8125440,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,8146944
4456448,73932800,73549824,73549824,73549824,73549824,73549824,73549824,73549824,73549824,74422272,73549824,73549824,3726848
6543360,148282880,148282880,148282880,148282880,148282880,148282880,148364800,148364800,148364800,148364800,148364800,148364800,6560768
4456448,86892032,86892032,86892032,86892032,86892032,86892032,86892032,86892032,86892032,86892032,86892032,86892032,4281344
14807040,460021760,460021760,460021760,460021760,460021760,460021760,460021760,460021760,460021760,460021760,460021760,460021760,14845952
13516800,402196480,402196480,402196480,402196480,402196480,402196480,402196480,402196480,402196480,402196480,402196480,402196480,13552128
13977600,422459392,422459392,422459392,422459392,422459392,422459392,422459392,422459392,422459392,422459392,422459392,422459392,14014464
6251520,139982848,139982848,139982848,139982848,139982848,139982848,139982848,139982848,139982848,139982848,139982848,139982848,6267904
4456448,69865472,68883456,68883456,68883456,68883456,68883456,68883456,68883456,68883456,69554176,68883456,69554176,3526656
9016320,227004928,227004928,227004928,227004928,227004928,227004928,227004928,227004928,227004928,227004928,227004928,227004928,9039872
11566080,321201152,321201152,321201152,321201152,321201152,321201152,321201152,321201152,321201152,321201152,321201152,321201152,11596288
6512640,147383296,147383296,147383296,147383296,147383296,147383296,147710976,147710976,147710976,147710976,147710976,147710976,6530048
