batch_size,input_length,embedding_layer,block_0_ln_1,block_0_attn,block_0_ln_2,block_0_mlp,block_1_ln_1,block_1_attn,block_1_ln_2,block_1_mlp,block_2_ln_1,block_2_attn,block_2_ln_2,block_2_mlp,block_3_ln_1,block_3_attn,block_3_ln_2,block_3_mlp,block_4_ln_1,block_4_attn,block_4_ln_2,block_4_mlp,block_5_ln_1,block_5_attn,block_5_ln_2,block_5_mlp,block_6_ln_1,block_6_attn,block_6_ln_2,block_6_mlp,block_7_ln_1,block_7_attn,block_7_ln_2,block_7_mlp,block_8_ln_1,block_8_attn,block_8_ln_2,block_8_mlp,block_9_ln_1,block_9_attn,block_9_ln_2,block_9_mlp,block_10_ln_1,block_10_attn,block_10_ln_2,block_10_mlp,block_11_ln_1,block_11_attn,block_11_ln_2,block_11_mlp,FC_layer
3,329,7343104,3174400,40964096,3174400,66080768,3174400,40964096,3174400,66080768,3174400,40964096,3174400,66080768,3174400,43020288,3688448,66594816,3688448,42886144,3040256,66287616,3381248,41538048,3381248,65946624,3040256,41230848,3040256,65946624,3040256,40889856,3040256,66287616,3040256,41230848,3381248,65946624,3040256,41230848,3040256,65037312,3040256,40889856,3040256,64014336,3040256,41230848,3381248,63673344,3040256
3,203,4817920,2102272,22332928,2102272,39514112,2102272,22074880,2556928,39968768,2102272,24348160,2556928,39370752,1958912,22614528,1875968,39597056,2185216,21871104,1875968,39597056,2185216,21871104,1875968,39597056,2185216,22180352,1875968,39597056,2185216,21871104,1875968,39287808,2185216,20943360,1875968,39287808,1875968,20943360,1875968,39287808,1875968,20943360,1875968,39287808,1875968,21588992,1875968,40255488,1875968
3,808,17925120,7465984,154967552,7465984,156377088,7465984,154967552,7465984,156377088,7465984,154967552,7465984,156377088,7465984,154967552,7465984,156377088,7465984,154967552,7465984,156893184,7982080,154238464,7465984,156893184,7982080,155786752,7465984,156893184,7982080,155786752,7465984,156893184,7982080,154238464,7465984,156377088,7465984,154238464,7465984,156377088,7465984,154238464,7465984,156377088,7465984,154238464,7465984,156377088,7465984
3,396,8572928,3659776,53243904,3659776,77049856,3659776,53446656,3659776,77049856,3659776,53553152,3659776,76886016,3659776,52967424,3659776,76640256,3659776,52967424,3659776,76640256,3659776,52967424,3659776,77266944,4286464,52967424,3659776,77266944,4286464,54847488,3659776,77266944,4286464,54847488,3659776,77266944,4286464,54847488,3659776,77266944,4286464,54847488,3659776,77266944,4286464,54847488,3659776,77266944,4286464
3,528,11366400,4879360,79434752,4879360,102187008,4879360,79434752,4879360,102187008,4879360,79434752,4879360,102187008,4879360,79434752,4879360,102187008,4879360,79434752,4879360,102187008,4879360,79434752,4879360,102187008,4879360,79367168,4879360,102187008,4879360,79352832,4879360,102187008,4879360,79352832,4879360,102187008,4879360,79352832,4879360,102187008,4879360,79352832,4879360,102187008,4879360,79352832,4879360,102187008,4879360
3,656,14188544,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,126959616,6062080,111502336,6062080,127451136,6553600
3,287,7042048,3087360,36001792,2652160,56396800,3087360,33825792,2652160,55544832,2652160,33104384,2652160,55885824,2993152,34127360,2652160,55885824,2993152,33959936,2652160,55544832,2652160,33277952,2652160,55544832,2652160,33277952,2652160,55544832,2652160,33104384,2652160,55544832,2652160,34011648,2652160,55544832,2652160,33104384,2652160,55544832,2652160,34011648,2652160,55544832,2652160,33463808,2652160,55544832,2652160
3,386,8320000,3567616,50927104,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616,50064896,3567616,74704896,3567616
3,208,4809728,2102272,23078912,2102272,42284032,2102272,23078912,2644992,40970240,2102272,25767936,2644992,40970240,2636800,25792512,2644992,40978432,2644992,25285632,2650112,40983552,2644992,26107904,2917376,41250816,2917376,26708992,2917376,41250816,2917376,23206912,1922048,40255488,1922048,22211584,1922048,40255488,1922048,22211584,1922048,40255488,1922048,22571520,1922048,40771584,2281984,22727680,1922048,40255488,1922048
3,344,8196096,3566592,45203968,3566592,66963456,3566592,45203968,3566592,66963456,3566592,44429824,3179520,66576384,3179520,43268608,3179520,66576384,3179520,43268608,3179520,67502080,4105216,45120000,3179520,67502080,4105216,43268608,3179520,66576384,3179520,43268608,3179520,67067904,3671040,42522112,3179520,66576384,3179520,42522112,3179520,66576384,3179520,42522112,3179520,66576384,3179520,42522112,3179520,66576384,3179520
3,309,6994944,3031040,39065600,3031040,60325888,3031040,38372864,3080192,60497408,3031040,38199808,3192832,60139520,3192832,38252544,2855936,59802624,3463680,36627968,2855936,59802624,2855936,36627968,2855936,59857920,2911232,37623296,3353600,59802624,2855936,37174784,2855936,59802624,2855936,36627968,2855936,59802624,2855936,36627968,2855936,59802624,2855936,37665280,2855936,59802624,2855936,37665280,2855936,59802624,2855936
3,393,8554496,3632128,55045632,4622336,77022208,3632128,54806016,4622336,77022208,3632128,52867584,3632128,77022208,3632128,53010944,3632128,77022208,3632128,51371008,3632128,76637184,3632128,51371008,3632128,76059648,3632128,51371008,3632128,76059648,3632128,51371008,3632128,76059648,3632128,51371008,3632128,76059648,3632128,51371008,3632128,76059648,3632128,51371008,3632128,76059648,3632128,51371008,3632128,76059648,3632128
3,803,17988608,7419904,152701952,7419904,155409408,7419904,152701952,7419904,155409408,7419904,152701952,7419904,155409408,7419904,152701952,7419904,155409408,7419904,152701952,7419904,156155904,8166400,152701952,7419904,156155904,8166400,154941440,7419904,156155904,8166400,154941440,7419904,156155904,8166400,152701952,7419904,155409408,7419904,152701952,7419904,155409408,7419904,152701952,7419904,155409408,7419904,152701952,7419904,155409408,7419904
3,262,5866496,2421760,29968896,2654208,51216384,2421760,30807040,2421760,50938880,2654208,31316992,2421760,51059712,2775040,31594496,2421760,51059712,2775040,31594496,2421760,51059712,2775040,29781504,2421760,51059712,2775040,29271552,2421760,51059712,2775040,29271552,2421760,51059712,2775040,29656576,2421760,50898944,2614272,29849088,2614272,50706432,2421760,29656576,2421760,50898944,2614272,29849088,2614272,50706432,2421760
3,321,6902784,2966528,38908928,3059712,65872896,2966528,39358464,2966528,65872896,2966528,39358464,2966528,65872896,2966528,39358464,2966528,65872896,2966528,39358464,2966528,65872896,2966528,38608896,2966528,62125056,2966528,38608896,2966528,62125056,2966528,38608896,2966528,62125056,2966528,38608896,2966528,62125056,2966528,38608896,2966528,62125056,2966528,38608896,2966528,62125056,2966528,38608896,2966528,62125056,2966528
