embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
19709440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,22016
16413696,258180608,258180608,258180608,258180608,258180608,258180608,258180608,258180608,258602496,256493056,256493056,256071168,18944
20247552,333409280,333409280,333409280,333409280,333409280,333409280,333409280,333409280,333409280,333532160,333777920,333900800,23552
32448000,636109312,636109312,636109312,636109312,636109312,636109312,636109312,636109312,636109312,636109312,636109312,636109312,38400
20308992,336691712,336691712,336691712,336691712,336691712,336691712,336691712,336691712,336691712,336691712,336691712,336691712,23552
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
12495872,192387072,192034816,189921280,188512256,188512256,188512256,188512256,188512256,188512256,188512256,188512256,188512256,14848
17737728,283047936,283047936,283047936,283047936,282126336,282126336,282126336,282126336,282126336,282126336,282494976,283232256,20480
13325824,205039104,205039104,205039104,205039104,205039104,205039104,205039104,205039104,205039104,205039104,205039104,205039104,15872
16048128,245070336,245172736,245019136,245121536,245121536,244967936,244967936,244967936,244967936,244967936,244967936,244967936,18432
10013184,134999040,135162880,135162880,134917120,134949888,134949888,135064576,135064576,135064576,135064576,135064576,135064576,11264
14032384,219395072,219395072,219395072,219395072,219395072,219395072,219395072,219395072,219395072,219395072,219395072,219395072,16896
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
16720896,269311488,269311488,269311488,269754880,270641664,271085056,269311488,269754880,269311488,269311488,269311488,269311488,19968
15955968,243402752,243781632,243213312,243592192,243592192,243023872,243023872,243023872,243023872,243023872,243023872,243023872,18432
10068480,145804288,146600960,148203520,149000192,146080768,145284096,145284096,145284096,145284096,145284096,145284096,145284096,11776
7267328,103626752,103626752,104507392,103626752,104507392,103626752,103626752,103626752,104761344,103626752,104194048,103626752,8704
19586560,304832512,304201728,303255552,303255552,303255552,303255552,303255552,303255552,303255552,303255552,303255552,303255552,22016
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
6625280,93714944,93571584,93571584,93571584,93760000,93571584,93571584,93571584,93760000,93571584,93571584,93571584,8192
7740416,112128000,111145984,111145984,111145984,111145984,111145984,111816704,111816704,111816704,111816704,111816704,111816704,9216
6692864,94672384,94621184,94621184,94621184,94906368,94621184,94621184,94621184,94906368,94621184,94621184,94621184,8192
18199040,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,20992
10034688,138775552,138775552,138876928,138876928,138775552,138775552,138775552,138775552,138775552,138775552,138775552,138775552,11264
10040832,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,11264
19555840,304066048,303189504,301874688,301874688,301874688,301874688,301874688,301874688,301874688,301874688,301874688,301874688,22016
13786624,214371328,214767104,214767104,214767104,214767104,214767104,214767104,214767104,214767104,215043584,215320064,216149504,16384
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
16413696,258180608,258180608,258180608,258180608,258180608,258180608,258180608,258180608,258602496,256493056,256493056,256071168,18944
18291200,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,21504
8112128,117597184,117122048,119022592,120923136,121713664,117912576,117912576,117912576,117912576,117912576,117912576,117912576,9728
14339584,225715712,225715712,225715712,225715712,225715712,225715712,225715712,225715712,225715712,225715712,225715712,225715712,17408
10025472,137083904,137083904,137630720,137630720,137083904,137083904,137083904,137083904,137083904,137083904,137083904,137083904,11264
32516096,636942848,636942848,636942848,636942848,636942848,636942848,636942848,636942848,636942848,636942848,636942848,636942848,38912
29676544,563465728,563465728,563465728,563465728,563465728,563465728,563465728,563465728,563465728,563465728,563465728,563465728,35328
30690816,589283328,589283328,589283328,589283328,589283328,589283328,589283328,589283328,589283328,589283328,589283328,589283328,36352
13755904,213746176,214367232,214367232,214367232,214367232,214367232,214367232,214367232,214367232,214720512,215073792,216133632,16384
